Fusion PIM (Product Information Model),MCP-Manufacturing,57%,50%,100%,89%,92%,100%,90%,0%,100%,81%
Autodesk Viewer (viewer.autodesk.com),MCP-Cloud Platform,100%,100%,75%,100%,85%,100%,40%,100%,83%,79%
External DNS,DPE-DES,100%,100%,75%,100%,92%,0%,80%,100%,33%,79%
HIG,MCP-Other,43%,83%,50%,100%,92%,100%,87%,100%,50%,79%
Slayer-nginx,DPE-SPG,100%,100%,50%,75%,77%,50%,87%,100%,50%,79%
AUM,DPE-SPG,86%,100%,50%,89%,85%,50%,45%,100%,100%,78%
AutoCAD Backend,DCP-AutoCAD Family,86%,100%,100%,44%,85%,100%,70%,33%,83%,77%
InfraWorks Translation,DCP-Building Infrastructure Design,100%,83%,100%,78%,31%,100%,100%,33%,100%,77%
Paymetric,DPE-DBP,71%,83%,0%,100%,100%,75%,100%,67%,17%,77%
RevPro Data Loader,DPE-DBP,100%,67%,25%,100%,77%,50%,80%,100%,83%,77%
BIM 360 Issues,MCP-Construction,100%,50%,100%,100%,77%,50%,67%,33%,100%,76%
Design Automation V3,DCP-Shared Service,29%,50%,75%,100%,62%,100%,100%,67%,100%,76%
Digital Help - Crucible,DPE-DHX,71%,100%,100%,100%,54%,75%,80%,100%,50%,76%
Generative Cloud Platform,MCP-Manufacturing,71%,83%,75%,100%,85%,100%,53%,67%,83%,76%
Generative Design (Explore),MCP-Manufacturing,100%,67%,100%,100%,77%,100%,53%,67%,67%,76%
Insight (GBS),DCP-Building Infrastructure Design,43%,100%,100%,78%,77%,100%,50%,67%,100%,76%
Slayer-IdentitySyncService,DPE-SPG,86%,83%,50%,100%,77%,50%,80%,100%,50%,76%
Wingman Server,DPE-SPG,100%,83%,100%,100%,77%,100%,0%,100%,83%,75%
CloudPC,DPE-DES,100%,67%,0%,100%,69%,25%,100%,67%,67%,74%
FusionTeam (A360),MCP-Manufacturing,100%,67%,100%,100%,69%,75%,53%,33%,100%,74%
InfraWorks Bridge Analysis,DCP-Building Infrastructure Design,43%,33%,0%,100%,100%,50%,100%,33%,100%,74%
Infraworks Model Storage,DCP-Building Infrastructure Design,100%,83%,75%,78%,31%,75%,100%,33%,100%,74%
Infraworks Watershed Analysis,DCP-Building Infrastructure Design,86%,50%,50%,100%,38%,100%,100%,33%,100%,74%
References,MCP-Cloud Platform,86%,83%,50%,100%,62%,100%,60%,67%,100%,74%
SAP - Order Entry,DPE-DBP,86%,67%,75%,100%,77%,50%,100%,67%,0%,74%
Slayer-panda,DPE-SPG,86%,67%,50%,100%,77%,50%,80%,100%,50%,74%
Fusion Mobile (Nova),MCP-Manufacturing,100%,67%,100%,56%,69%,75%,60%,33%,100%,73%
FusionDM,MCP-Manufacturing,100%,50%,100%,100%,69%,100%,47%,33%,100%,73%
FusionSymphonyDM,MCP-Manufacturing,86%,50%,100%,100%,77%,100%,47%,33%,100%,73%
SketchBook.com,DCP-Automotive & Conceptual Design,14%,67%,75%,100%,92%,50%,87%,33%,83%,73%
CLS,DPE-SPG,86%,100%,100%,78%,69%,100%,9%,67%,100%,71%
SPOC-PayPort,DPE-SPG,71%,83%,75%,100%,92%,100%,0%,100%,67%,71%
BIC Reporting,DPE-DES,100%,50%,100%,100%,62%,75%,73%,33%,33%,69%
BIM 360 Glue,MCP-Construction,86%,50%,75%,100%,62%,75%,67%,33%,83%,69%
Cloud Solid Modeling,MCP-Cloud Platform,86%,83%,100%,89%,46%,50%,50%,33%,100%,69%
Fusion Landing Pages for China,MCP-Manufacturing,29%,100%,50%,100%,85%,100%,40%,33%,67%,69%
Fusion Supportal,MCP-Manufacturing,86%,67%,100%,75%,69%,100%,40%,33%,100%,69%
InfraWorks Model Builder,DCP-Building Infrastructure Design,71%,50%,75%,78%,38%,75%,100%,33%,100%,69%
Infraworks Traffic Simulation,DCP-Building Infrastructure Design,71%,67%,75%,78%,46%,50%,100%,0%,100%,69%
Shotgun,MCP-Production,86%,100%,75%,78%,77%,100%,50%,0%,33%,69%
Tempest,MCP-Production,29%,83%,25%,75%,62%,100%,93%,67%,67%,69%
Account Portal,DPE-SPG,86%,67%,50%,100%,54%,100%,45%,67%,67%,68%
ECS Vapor,DPE-DES,86%,67%,75%,100%,62%,75%,47%,67%,83%,68%
SPOC-Payport Agent,DPE-SPG,57%,83%,75%,100%,92%,100%,0%,67%,67%,68%
Active Directory (ADS),DPE-DES,86%,33%,100%,100%,69%,0%,73%,33%,67%,66%
BIM 360 Field,MCP-Construction,100%,67%,100%,100%,23%,75%,80%,0%,67%,66%
Forge - Existing Developer portal,MCP-Cloud Platform,43%,100%,50%,75%,38%,100%,80%,67%,67%,66%
Pan Service,MCP-Manufacturing,29%,83%,100%,50%,54%,25%,100%,67%,50%,66%
Revit Cloud Worksharing (Communicator),DCP-Building Infrastructure Design,100%,33%,50%,75%,23%,75%,93%,33%,100%,66%
AEM Checkout,DPE-DEC,100%,100%,75%,100%,62%,100%,12%,67%,67%,65%
Autodesk Data Platform (ADP),DPE-DAA,100%,33%,75%,100%,38%,25%,64%,67%,83%,65%
Constructware,MCP-Construction,86%,50%,100%,100%,23%,25%,100%,0%,67%,65%
InfraWorks Comment,DCP-Building Infrastructure Design,71%,33%,100%,78%,31%,50%,100%,0%,100%,65%
InfraWorks Optimization,DCP-Building Infrastructure Design,71%,33%,75%,78%,31%,75%,100%,0%,100%,65%
Salesforce,DPE-DAA,57%,33%,100%,100%,38%,75%,93%,33%,50%,65%
SketchBook API,DCP-Automotive & Conceptual Design,14%,67%,75%,100%,54%,50%,87%,33%,83%,65%
SPOC-Billing Manager,DPE-SPG,86%,83%,75%,100%,77%,50%,0%,100%,50%,65%
Testing Hub,DPE-DES,14%,67%,25%,100%,69%,100%,64%,100%,50%,65%
ADP Looker,DPE-DAA,100%,50%,75%,75%,77%,25%,33%,100%,67%,63%
Internal DNS,DPE-DES,100%,17%,75%,100%,85%,0%,67%,33%,33%,63%
IronClad,DPE-DES,86%,17%,100%,100%,46%,100%,67%,100%,17%,63%
Marketo,DPE-DAA,100%,33%,100%,100%,54%,25%,80%,0%,33%,63%
Navex Global,DPE-DES,86%,17%,100%,100%,46%,100%,67%,100%,17%,63%
